Symbol,GICS Sector,environmentScore,socialScore,governanceScore,totalEsg,highestControversy,marketCap,beta
A,Health Care,1.12,6.42,6.1,13.64,2,39751831552,1.054
AAL,Industrials,9.94,11.65,4.76,26.35,2,7335383552,1.433
AAPL,Information Technology,0.46,7.39,9.37,17.22,3,3.2961E+12,1.24
ABBV,Health Care,2.38,17.19,10.36,29.93,3,3.41698E+11,0.619
ABT,Health Care,2.27,14.24,8.33,24.83,3,2.05534E+11,0.722
ACGL,Financials,1.47,10.1,10.89,22.46,2,42855567360,0.596
ACN,Information Technology,0.82,4.61,4.41,9.84,2,2.11116E+11,1.239
ADBE,Information Technology,1.94,5.99,5.15,13.08,2,2.31233E+11,1.296
ADI,Information Technology,9.27,6.68,6.98,22.92,1,1.11885E+11,1.073
ADM,Consumer Staples,16.64,10.15,5.01,31.79,3,28908466176,0.714
ADP,Industrials,2.8,5.54,5.49,13.82,1,1.13942E+11,0.802
ADSK,Information Technology,3.68,8.19,4.89,16.76,0,57698152448,1.476
AEE,Utilities,12.85,9.07,5.25,27.17,2,22804828160,0.458
AEP,Utilities,12.66,8.1,5.38,26.14,2,55846035456,0.533
AES,Utilities,13.26,8.18,5.26,26.69,2,13678178304,1.062
AFL,Financials,0.3,9.14,8.9,18.33,1,61698056192,0.949
AIG,Financials,1.65,9.67,12.86,24.18,2,47394791424,1.075
AIZ,Financials,1.63,10.82,11.66,24.11,2,10138020864,0.563
AJG,Financials,0.09,10.92,10.15,21.16,2,65631498240,0.729
AKAM,Information Technology,3,7.09,6.93,17.01,1,15044968448,0.676
ALB,Materials,15.39,4.85,6.33,26.57,2,10556814336,1.543
ALL,Financials,1.03,10.13,10.88,22.04,2,50315587584,0.477
ALLE,Industrials,10.9,5.84,5.04,21.78,0,12491554816,1.123
AMAT,Information Technology,4.49,2.97,5.28,12.74,1,1.55474E+11,1.541
AME,Industrials,8.65,8.51,6.73,23.9,1,39030026240,1.173
AMGN,Health Care,0.73,13.48,7.75,21.96,3,1.78823E+11,0.605
